Opt. Const. of Quartz E vs. nm
nm	n	k
1648.664795	1.534708	0.000000	
1652.113037	1.534657	0.000000	
1655.562500	1.534605	0.000000	
1659.013062	1.534554	0.000000	
1662.465088	1.534503	0.000000	
1665.918213	1.534451	0.000000	
1669.372437	1.534400	0.000000	
1672.828125	1.534349	0.000000	
1676.285156	1.534297	0.000000	
1679.743408	1.534246	0.000000	
1683.202881	1.534193	0.000000	
1686.663818	1.534138	0.000000	
